S#,Country,Latitute ,Longitute,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy
1,United States,37.09024,-95.712891,"19,687,287",20%,934.3,5.19,1.37,289.97,"63,414","12,218",13
2,China,35.86166,104.195397,"12,791,553",13%,138.7,5.42,1.43,302.87,"10,435","1,925",14
3,India,20.593684,78.96288,"4,443,000",5%,51.4,5.05,1.33,281.93,"1,901",376,7
4,Japan,36.204824,138.252924,"4,012,877",4%,481.5,4.69,1.24,262.05,"40,193","8,570",18
5,Russia,61.52401,105.318756,"3,631,287",4%,383.2,3.41,0.9,190.56,"10,127","2,970",8
6,Saudi Arabia,23.885942,45.079162,"3,302,000",3%,1560.2,2.35,0.62,131.34,"20,110","8,557",5
7,Brazil,-14.235004,-51.92528,"2,984,000",3%,221.9,5.36,1.42,299.27,"6,797","1,268",6
8,South Korea,35.907757,127.766922,"2,605,440",3%,783.4,6.09,1.61,340.52,"31,632","5,194",7
9,Canada,56.130366,-106.346771,"2,486,301",3%,1047.6,6.76,1.79,377.74,"43,258","6,399",6
10,Germany,51.165691,10.451526,"2,383,393",3%,444.5,7.65,2.02,427.44,"46,208","6,040",14
11,Mexico,23.634501,-102.552784,"2,052,607",2%,255.1,4.36,1.15,243.44,"8,329","1,910",7
12,Iran,32.427908,53.688046,"1,803,999",2%,347.6,0.2,0.05,11.21,"2,423","12,115",35
13,France,46.227638,2.213749,"1,705,568",2%,404.3,8.27,2.19,462.13,"39,030","4,719",12
14,Indonesia,-0.789275,113.921327,"1,623,000",2%,95.1,4.48,1.18,250.42,"3,870",864,9
15,United Kingdom,55.378051,-3.435973,"1,583,896",2%,366.2,8.38,2.22,468.47,"41,125","4,908",13
16,Singapore,1.352083,103.819836,"1,357,000",1%,3679.5,8.71,2.3,486.87,"59,798","6,865",2
17,Italy,41.87194,12.56738,"1,236,628",1%,312.5,8.01,2.12,447.53,"31,714","3,959",13
18,Spain,40.463667,-3.74922,"1,290,063",1%,424.1,8.35,2.21,466.57,"27,063","3,241",8
19,Thailand,15.870032,100.992541,"1,302,000",1%,289.4,5.7,1.51,318.73,"7,189","1,261",4
20,Australia,-25.274398,133.775136,"1,114,645",1%,704.3,5.22,1.38,291.45,"51,693","9,903",14
21,Taiwan,23.69781,120.960515,"981,203",1%,636.9,3.94,1.04,220.17,"25,936","6,583",10
22,Turkey,38.963745,35.243322,"941,861",1%,180.9,6.06,1.6,338.4,"8,536","1,409",8
23,Netherlands,52.132633,5.291266,"937,098",1%,846,9.33,2.47,521.35,"52,397","5,616",7
24,Egypt,26.820553,30.802498,"877,000",1%,142.3,1.97,0.52,110.19,"3,548","1,801",13
25,United Arab Emirates,23.424076,53.847818,"896,000",1%,1467.3,4.15,1.1,232.02,"36,285","8,743",6
26,Iraq,33.223191,43.679291,"857,000",1%,358.9,1.95,0.51,108.71,"4,158","2,132",6
27,Malaysia,4.210484,101.975766,"708,000",1%,353.7,1.76,0.46,98.14,"10,412","5,916",17
28,Argentina,-38.416097,-63.616672,"709,000",1%,249.8,3.96,1.05,221.23,"8,579","2,166",9
29,Belgium,50.503887,4.469936,"631,522",1%,852.6,8.36,2.21,466.99,"45,159","5,402",6
30,South Africa,-30.559482,22.937506,"640,000",1%,174.6,5.59,1.48,312.6,"5,091",911,5
31,Venezuela,6.42375,-66.58973,"598,000",1%,307.1,0.08,0.02,4.65,"16,056","200,700",654
32,Poland,51.919438,19.145136,"582,161",1%,234.9,6.8,1.8,380.07,"15,721","2,312",10
33,Pakistan,30.375321,69.345116,"556,000",1%,41.9,3.9,1.03,217.85,"1,194",306,7
34,Vietnam,14.058324,108.277199,"478,000",1%,78.3,5.38,1.42,300.75,"2,786",518,7
35,Nigeria,9.081999,8.675277,"428,000",0%,35.3,1.57,0.42,87.98,"2,097","1,336",38
36,Colombia,4.570868,-74.297333,"357,000",0%,113.6,2.28,0.6,127.11,"5,333","2,339",21
37,Algeria,28.033886,1.659626,"429,000",0%,162.2,1.18,0.31,66.2,"3,310","2,805",17
38,Kuwait,29.31166,47.481766,"359,000",0%,1390.9,1.29,0.34,72.33,"24,812","19,234",14
39,Philippines,12.879721,121.774017,"429,000",0%,63.4,5.88,1.55,328.46,"3,299",561,9
40,Chile,-35.675147,-71.542969,"351,989",0%,296.3,5.26,1.39,293.77,"13,232","2,516",8
41,Hong Kong,22.396428,114.109497,"408,491",0%,864.5,11.35,3,634.29,"46,324","4,081",5
42,Kazakhstan,48.019573,66.923684,"325,000",0%,279.4,1.8,0.48,100.46,"9,122","5,068",18
43,Austria,47.516231,14.550072,"262,352",0%,459.8,8.07,2.13,450.92,"48,587","6,021",13
44,Sweden,60.128161,18.643501,"322,109",0%,502,8.7,2.3,486.24,"52,274","6,009",12
45,Peru,-9.189967,-75.015152,"246,000",0%,121.9,6.26,1.65,349.82,"6,127",979,8
46,Ukraine,48.379433,31.16558,"244,000",0%,83.7,6.44,1.7,359.76,"3,727",579,7
47,Ecuador,-1.831239,-78.183406,"259,000",0%,240.8,4.43,1.17,247.46,"5,600","1,264",5
48,Greece,39.074208,21.824312,"296,101",0%,427.6,9.49,2.51,530.02,"17,623","1,857",4
49,Morocco,31.791702,-7.09262,"275,000",0%,120,6.36,1.68,355.53,"3,009",473,4
50,Libya,26.3351,17.228331,"223,000",0%,526.6,0.12,0.03,6.56,"3,699","30,825",59
51,Switzerland,46.818188,8.227512,"228,194",0%,417.5,8.27,2.19,462.34,"87,097","10,532",25
52,Qatar,25.354826,51.183884,"172,000",0%,993.4,2.18,0.58,121.82,"50,124","22,993",23
53,Ireland,53.41291,-8.24389,"152,404",0%,497.5,7.84,2.07,437.81,"85,268","10,876",22
54,Denmark,56.26392,9.501785,"158,194",0%,424.6,10.04,2.65,561.11,"61,063","6,082",14
55,Israel,31.046051,34.851612,"236,249",0%,446.6,7.94,2.1,443.73,"44,169","5,563",12
56,Romania,45.943161,24.96676,"200,000",0%,154.9,6.87,1.82,384.08,"12,896","1,877",12
57,Czech Republic (Czechia),49.817492,15.472962,"179,956",0%,259.8,7.56,2,422.15,"22,932","3,033",12
58,Turkmenistan,38.969719,59.556278,"149,000",0%,403.4,1.62,0.43,90.52,"7,612","4,699",12
59,Norway,60.472024,8.468946,"204,090",0%,595.8,10.22,2.7,571.26,"67,390","6,594",11
60,New Zealand,-40.900557,174.885971,"166,913",0%,549.2,7.82,2.07,436.75,"41,442","5,299",10
61,Cuba,21.521757,-77.781167,"153,000",0%,206.9,4.77,1.26,266.49,"9,478","1,987",10
62,Oman,21.512583,55.923255,"183,000",0%,626.3,2.35,0.62,131.34,"12,660","5,387",9
63,Hungary,47.162494,19.503304,"155,544",0%,244.5,7.6,2.01,424.48,"15,981","2,103",9
64,Finland,61.92411,25.748151,"210,030",0%,585.7,10.01,2.64,559.21,"48,773","4,872",8
65,Portugal,39.399872,-8.224454,"236,866",0%,351.7,8.55,2.26,477.78,"22,176","2,594",7
66,Panama,8.537981,-80.782127,"155,000",0%,588.6,5.49,1.45,306.68,"12,510","2,279",4
67,Lebanon,33.854721,35.862285,"153,000",0%,349.3,5.41,1.43,302.23,"4,650",860,2
68,Bangladesh,23.684994,90.356331,"113,000",0%,11,3.59,0.95,200.5,"1,969",548,50
69,Angola,-11.202692,17.873887,"133,000",0%,70.7,1.39,0.37,77.83,"1,896","1,364",19
70,Syria,34.802075,38.996815,"140,000",0%,122.9,1.08,0.29,60.49,"2,033","1,882",15
71,Puerto Rico,18.220833,-66.590149,"96,746",0%,451.7,5.41,1.43,302.23,"32,291","5,969",13
72,Azerbaijan,40.143105,47.576927,"96,000",0%,151.2,2.23,0.59,124.36,"4,214","1,890",12
73,Belarus,53.709807,27.953389,"137,000",0%,222.3,2.67,0.71,149.11,"6,411","2,401",11
74,Guatemala,15.783471,-90.230759,"93,000",0%,86,5.14,1.36,287.01,"4,603",896,10
75,Kenya,-0.023559,37.906193,"114,000",0%,35.6,5.14,1.36,287.01,"1,838",358,10
76,Tunisia,33.886917,9.537499,"97,000",0%,131.5,2.86,0.76,159.68,"3,320","1,161",9
77,Sri Lanka,7.873054,80.771797,"127,000",0%,92.6,4.75,1.26,265.43,"3,682",775,8
78,Myanmar,21.913965,95.956223,"123,000",0%,35.5,4.75,1.26,265.43,"1,400",295,8
79,Bulgaria,42.733883,25.48583,"97,000",0%,207.9,6.53,1.72,364.63,"10,079","1,543",7
80,Dominican Republic,18.735693,-70.162651,"133,000",0%,196.1,5.33,1.41,298,"7,268","1,364",7
81,Jordan,30.585164,36.238414,"114,000",0%,182.9,6.3,1.66,351.94,"4,283",680,4
82,Sudan,12.862807,30.217636,"140,000",0%,53.9,4.8,1.27,268.18,596,124,2
83,Bolivia,-16.290154,-63.588653,"90,000",0%,125.1,2.06,0.54,115.06,"3,143","1,526",12
84,Ghana,7.946527,-1.023194,"88,000",0%,47.4,4.87,1.29,271.99,"2,329",478,10
85,Ethiopia,9.145,40.489673,"74,000",0%,10.9,2.7,0.71,150.59,936,347,32
86,Slovakia,48.669026,19.699024,"81,587",0%,229.8,7.5,1.98,418.98,"19,267","2,569",11
87,Serbia,44.016521,21.005859,"74,000",0%,128.1,6.64,1.76,371.18,"7,721","1,163",9
88,Tanzania,-6.369028,34.888822,"71,999",0%,20.8,4.86,1.28,271.57,"1,077",222,11
89,Croatia,45.1,15.2,"69,000",0%,251.3,7.24,1.91,404.39,"14,134","1,952",8
90,Bahrain,25.930414,50.637772,"62,000",0%,666.6,2.01,0.53,112.31,"20,410","10,154",15
91,Yemen,15.552727,48.516388,"60,000",0%,33.9,1.96,0.52,109.35,824,420,12
92,Costa Rica,9.748917,-83.753428,"55,000",0%,172.1,5.87,1.55,327.83,"12,141","2,068",12
93,Luxembourg,49.815273,6.129583,"56,194",0%,1487.2,7.91,2.09,441.82,"115,874","14,649",10
94,Uruguay,-32.522779,-55.765835,"53,000",0%,237.3,7.64,2.02,427.02,"15,438","2,021",9
95,Lithuania,55.169438,23.881275,"61,612",0%,326.9,8.11,2.14,453.24,"20,234","2,495",8
96,Trinidad and Tobago,10.691803,-61.222503,"57,000",0%,634.3,3.76,0.99,210.02,"15,426","4,103",6
97,Honduras,15.199999,-86.241905,"58,000",0%,95.9,5.49,1.45,306.46,"2,406",438,5
98,Jamaica,18.109581,-77.297508,"54,000",0%,284.8,6.36,1.68,355.32,"4,665",733,3
99,Uzbekistan,41.377491,64.585262,"49,000",0%,23.9,3.39,0.9,189.29,"1,686",497,21
100,Côte d'Ivoire,7.539989,-5.54708,"51,000",0%,32.8,4.47,1.18,249.57,"2,325",520,16
101,Slovenia,46.151241,14.995463,"52,298",0%,386.5,6.15,1.62,343.48,"25,517","4,149",11
102,Paraguay,-23.442503,-58.443832,"51,000",0%,115.4,5.3,1.4,295.89,"4,950",934,8
103,El Salvador,13.794185,-88.89653,"52,000",0%,125.4,4.31,1.14,240.9,"3,799",881,7
104,Cambodia,12.565679,104.990963,"48,000",0%,46.7,5.78,1.53,322.96,"1,513",262,6
105,Cyprus,35.126413,33.429859,"52,000",0%,681.2,7.04,1.86,393.18,"26,624","3,782",6
106,Senegal,14.497401,-14.452362,"49,000",0%,50.1,5.39,1.42,300.96,"1,488",276,6
107,Malta,35.937496,14.375416,"47,000",0%,1652.2,5.28,1.4,295.04,"27,885","5,281",3
108,Cameroon,7.369722,12.354722,"40,000",0%,25.6,3.93,1.04,219.33,"1,499",381,15
109,Afghanistan,33.93911,67.709953,"35,000",0%,15.2,3.62,0.96,201.98,509,141,9
110,Nepal,28.394857,84.124008,"43,000",0%,24.2,5.39,1.42,301.18,"1,155",214,9
111,Latvia,56.879635,24.603189,"37,694",0%,292.7,8.28,2.19,462.55,"17,726","2,141",7
112,Benin,9.30769,2.315834,"36,000",0%,50.8,3.63,0.96,202.83,"1,291",356,7
113,Papua New Guinea,-6.314993,143.95555,"37,001",0%,68.6,5.87,1.55,327.83,"2,637",449,7
114,Bosnia and Herzegovina,43.915886,17.679076,"35,000",0%,158.4,6.55,1.73,366.11,"6,032",921,6
115,Mozambique,-18.665695,35.529562,"40,000",0%,22,4.94,1.3,275.8,449,91,4
116,Nicaragua,12.865416,-85.207229,"37,000",0%,90,5.18,1.37,289.54,"1,905",368,4
117,Kyrgyzstan,41.20438,74.766098,"40,000",0%,100.9,3.14,0.83,175.55,"1,174",374,4
118,Uganda,1.373333,32.290275,"32,001",0%,12.4,5.7,1.51,318.52,817,143,12
119,Estonia,58.595272,25.013607,"28,855",0%,336,8.35,2.21,466.57,"23,027","2,758",8
120,Zimbabwe,-19.015438,29.154857,"24,000",0%,26.2,6.13,1.62,342.42,"1,128",184,7
121,Georgia,42.315407,43.356892,"33,000",0%,126,5.04,1.33,281.51,"4,279",849,7
122,State of Palestine,31.952162,35.233154,"24,001",0%,79.4,6.62,1.75,370.13,"3,240",489,6
123,Namibia,-22.95764,18.49041,"26,000",0%,169,4.8,1.27,268.18,"4,211",877,5
124,Albania,41.153332,20.168331,"27,000",0%,143.4,8,2.11,447.11,"5,215",652,5
125,Mauritius,-20.348404,57.552152,"28,000",0%,340.2,6.36,1.68,355.32,"8,628","1,357",4
126,Brunei ,4.535277,114.727669,"16,000",0%,584.3,0.83,0.22,46.53,"27,443","33,064",57
127,Macao,22.198745,113.543873,"17,110",0%,428,5.42,1.43,302.87,"86,117","15,889",37
128,DR Congo,-4.038333,21.758664,"21,000",0%,4.1,4.43,1.17,247.46,557,126,31
129,Haiti,18.971187,-72.285215,"23,000",0%,32.5,2.18,0.58,122.04,"1,177",540,17
130,Gabon,-0.803689,11.609444,"21,000",0%,160.3,3.65,0.97,204.1,"7,006","1,919",12
131,Madagascar,-18.766947,46.869107,"18,000",0%,11.1,3.86,1.02,215.94,496,128,12
132,Botswana,-22.328474,24.684866,"21,000",0%,149,4.29,1.13,239.42,"6,711","1,564",10
133,Burkina Faso,12.238333,-1.561593,"23,000",0%,18.9,4.33,1.14,241.74,831,192,10
134,Moldova,47.411631,28.369885,"18,001",0%,67.9,6.75,1.78,376.89,"4,551",674,10
135,Mali,17.570692,-3.996166,"21,999",0%,18.8,4.61,1.22,257.61,859,186,10
136,Congo,-0.228021,15.827659,"17,000",0%,52.3,3.94,1.04,219.96,"1,973",501,10
137,Togo,8.619543,0.824782,"15,000",0%,30.6,3.18,0.84,177.45,915,288,9
138,Guinea,9.945587,-9.696645,"19,001",0%,24.8,5.13,1.36,286.79,"1,194",233,9
139,Zambia,-13.133897,27.849332,"22,000",0%,20.6,5.59,1.48,312.6,"1,051",188,9
140,Laos,19.85627,102.495496,"18,000",0%,40.3,7.23,1.91,403.75,"2,630",364,9
141,Mongolia,46.862496,103.846656,"21,000",0%,105.3,4.67,1.23,260.78,"4,007",858,8
142,Iceland,64.963051,-19.020835,"19,090",0%,880.9,9.83,2.6,549.48,"59,270","6,030",7
143,North Macedonia,41.608635,21.745275,"21,000",0%,154.7,7.12,1.88,397.62,"5,888",827,5
144,Bahamas,25.03428,-77.39628,"20,036",0%,812.7,6.48,1.71,361.88,"25,194","3,888",5
145,Tajikistan,38.861034,71.276093,"21,000",0%,37.2,5.94,1.57,332.06,859,145,4
146,New Caledonia,-20.904305,165.618042,"20,000",0%,1118.2,8.19,2.16,457.47,"34,789","4,248",4
147,Fiji,-16.578193,179.414413,"16,000",0%,281.2,5.27,1.39,294.41,"4,882",926,3
148,North Korea,40.339852,127.510093,"18,000",0%,10.9,54.89,14.5,3066.75,"1,300",24,2
149,Armenia,40.069099,45.038189,"6,000",0%,31.3,4.77,1.26,266.49,"4,268",895,29
150,Malawi,-13.254308,34.301525,"6,001",0%,5.3,5.12,1.35,285.95,625,122,23
151,South Sudan,12.862807,30.217636,"8,001",0%,11.3,4.8,1.27,268.18,"1,120",233,21
152,Rwanda,-1.940278,29.873888,"6,700",0%,8.8,5.36,1.42,299.27,798,149,17
153,Somalia,5.152149,46.199616,"5,600",0%,6.1,3.03,0.8,169.2,309,102,17
154,Montenegro,42.708678,19.37439,"7,000",0%,171.1,6.46,1.71,361.03,"7,677","1,188",7
155,Sierra Leone,8.460555,-11.779889,"6,500",0%,13.6,5.17,1.37,288.91,485,94,7
156,Guyana,4.860416,-58.93018,"14,000",0%,278.2,4.6,1.22,257.18,"6,956","1,512",5
157,Maldives,3.202778,73.22068,"11,000",0%,354.6,3.6,0.95,201.14,"6,924","1,923",5
158,Liberia,6.428055,-9.429499,"8,000",0%,26.7,4.9,1.3,273.89,583,119,4
159,Suriname,3.919305,-56.027783,"13,000",0%,352.8,4.26,1.13,237.94,"6,491","1,524",4
160,Aruba,12.52111,-69.968338,"8,000",0%,1169.4,6.08,1.61,339.67,"30,253","4,976",4
161,Lesotho,-29.609988,28.233608,"5,001",0%,36.9,5.68,1.5,317.46,861,152,4
162,Barbados,13.193887,-59.543198,"11,001",0%,590.1,8.27,2.18,461.92,"15,374","1,859",3
163,Cabo Verde,16.002082,-24.013197,"5,600",0%,161.6,6.86,1.81,383.24,"3,064",447,3
164,Seychelles,-4.679574,55.491977,"7,299",0%,1169.1,6.9,1.82,385.35,"10,764","1,560",1
165,Burundi,-3.373056,29.918886,"1,499",0%,2.2,5.09,1.34,284.26,274,54,24
166,British Virgin Islands,18.420695,-64.639968,"1,240",0%,647.6,3.6,0.95,200.93,"34,246","9,513",15
167,Cayman Islands,19.513469,-80.566956,"4,401",0%,1078.3,6.27,1.66,350.24,"85,083","13,570",13
168,Bhutan,27.514162,90.433601,"3,001",0%,62.4,4.46,1.18,249.15,"3,122",700,11
169,Comoros,-11.875001,43.872219,"1,300",0%,25,5.15,1.36,287.64,"1,403",272,11
170,Vanuatu,-15.376706,166.959158,"1,100",0%,60.6,4.92,1.3,274.95,"2,783",566,9
171,Saint Helena,-24.143474,-10.030696,70,0%,180.2,5.53,1.46,309.21,"7,800","1,410",8
172,Kiribati,-3.370417,-168.734039,400,0%,54.5,4.09,1.08,228.42,"1,671",409,7
173,Grenada,12.262776,-61.604171,"2,000",0%,278.1,4.62,1.22,258.24,"9,262","2,005",7
174,Gambia,13.443182,-15.310139,"3,800",0%,27.1,5.04,1.33,281.51,787,156,6
175,Central African Republic,6.611111,20.939444,"2,800",0%,9.5,9.06,2.39,506.12,477,53,6
176,Dominica,15.414999,-61.370976,"1,301",0%,279.7,4.78,1.26,267.34,"7,268","1,521",5
177,Belize,17.189877,-88.49765,"4,001",0%,166.5,6.68,1.76,373.09,"4,436",664,4
178,Niue,-19.054445,-169.867233,51,0%,484.4,11.43,3.02,638.73,"15,586","1,364",3
179,Saint Pierre & Miquelon,46.941936,-56.27111,660,0%,1705.1,8.27,2.19,462.13,"34,900","4,220",2
180,Montserrat,16.7425° N, 62.1874° W,400,0%,1231.1,4.57,1.21,255.07,"12,589","2,755",2
181,Tonga,-21.178986,-175.198242,899,0%,136.3,16.2,4.28,905.22,"4,903",303,2
